id,ucetni_rok,mesic,castka_hal,kategorie,popis_verejny,zdroj_id,obdobi_stav
518-2023-0048,2023,2,25000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0049,2023,2,73200,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0050,2023,2,111000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0051,2023,2,132000,Kopírování / tisk,Kopírování a tisk,detail-518-2022-2025,uzavrene
518-2023-0052,2023,2,9509120,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0053,2023,2,25000,Ostatní,Mateřská škola – splátka úvěru,detail-518-2022-2025,uzavrene
518-2023-0054,2023,2,40000,Ostatní,Hasiči (SDH) – vozidla a technika,detail-518-2022-2025,uzavrene
518-2023-0055,2023,2,169400,Ostatní,"Software, licence a online služby",detail-518-2022-2025,uzavrene
518-2023-0056,2023,2,193600,Ostatní,Kancelářský materiál a vybavení,detail-518-2022-2025,uzavrene
518-2023-0057,2023,2,260000,Ostatní,Ostatní,detail-518-2022-2025,uzavrene
518-2023-0058,2023,2,644000,Ostatní,Pozemky – nájem a předpisy závazků,detail-518-2022-2025,uzavrene
518-2023-0059,2023,2,19600,Poštovné,Poštovné,detail-518-2022-2025,uzavrene
518-2023-0060,2023,2,5009400,Právní služby,Právní služby,detail-518-2022-2025,uzavrene
518-2023-0061,2023,2,14700,Telekomunikace / IT,Telefony – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0062,2023,2,53716,Telekomunikace / IT,Internet a dálkový přístup,detail-518-2022-2025,uzavrene
518-2023-0063,2023,2,250245,Telekomunikace / IT,Telefony – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0064,2023,2,286926,Telekomunikace / IT,Telefony a internet – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0065,2023,2,158930,Voda/kanalizace (provoz),Vodovod – kalkulační výměr a výkazy,detail-518-2022-2025,uzavrene
518-2023-0066,2023,2,810000,Voda/kanalizace (provoz),Vodovod a kanalizace – odborný a technický dozor,detail-518-2022-2025,uzavrene
518-2023-0067,2023,2,3388000,Zámek (budova),Zámek – pronájem stavebního jeřábu,detail-518-2022-2025,uzavrene
518-2023-0068,2023,3,80,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0069,2023,3,1000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0070,2023,3,10000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0071,2023,3,22300,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0072,2023,3,25000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0073,2023,3,94500,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0074,2023,3,101400,Kopírování / tisk,Kopírování a tisk,detail-518-2022-2025,uzavrene
518-2023-0075,2023,3,477135,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0076,2023,3,617100,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0077,2023,3,948836,Odpady (svoz),Nebezpečný odpad,detail-518-2022-2025,uzavrene
518-2023-0078,2023,3,9882870,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0079,2023,3,17000,Ostatní,"Obecní vozidla – provoz, pojištění a servis",detail-518-2022-2025,uzavrene
518-2023-0080,2023,3,25000,Ostatní,Mateřská škola – splátka úvěru,detail-518-2022-2025,uzavrene
518-2023-0081,2023,3,72600,Ostatní,Správní agenda a evidence,detail-518-2022-2025,uzavrene
518-2023-0082,2023,3,348916,Ostatní,Místní rozhlas a poplatky OSA,detail-518-2022-2025,uzavrene
518-2023-0083,2023,3,580800,Ostatní,Ostatní,detail-518-2022-2025,uzavrene
518-2023-0084,2023,3,1314665,Ostatní,Ostatní,detail-518-2022-2025,uzavrene
518-2023-0085,2023,3,13600,Poštovné,Poštovné,detail-518-2022-2025,uzavrene
518-2023-0086,2023,3,5227200,Právní služby,Právní služby,detail-518-2022-2025,uzavrene
518-2023-0087,2023,3,125000,Správa / odborné služby,Služby BOZP,detail-518-2022-2025,uzavrene
518-2023-0088,2023,3,174200,Správa / odborné služby,Technická pomoc a IT podpora,detail-518-2022-2025,uzavrene
518-2023-0089,2023,3,53716,Telekomunikace / IT,Internet a dálkový přístup,detail-518-2022-2025,uzavrene
518-2023-0090,2023,3,252485,Telekomunikace / IT,Telefony – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0091,2023,3,286926,Telekomunikace / IT,Telefony a internet – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0092,2023,3,710000,Voda/kanalizace (provoz),Vodovod a kanalizace – odborný a technický dozor,detail-518-2022-2025,uzavrene
518-2023-0093,2023,3,532400,Zámek (budova),Zámek – statické posudky a dřevěné prvky,detail-518-2022-2025,uzavrene
518-2023-0094,2023,3,948000,Zámek (budova),"Zámek – oprava střechy, atiky a fasády",detail-518-2022-2025,uzavrene
518-2023-0095,2023,3,4719000,Zámek (budova),Zámek – pronájem stavebního jeřábu,detail-518-2022-2025,uzavrene
518-2023-0096,2023,3,48654365,Zámek (budova),"Zámek – oprava střechy, atiky a fasády",detail-518-2022-2025,uzavrene
518-2023-0097,2023,3,23526730,ČOV / odpadní vody,ČOV – převzatá odpadní voda a čištění,detail-518-2022-2025,uzavrene
518-2023-0098,2023,3,32170818,ČOV / odpadní vody,ČOV – převzatá odpadní voda a čištění,detail-518-2022-2025,uzavrene
518-2023-0099,2023,4,80,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0100,2023,4,1000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0101,2023,4,10000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0102,2023,4,25000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0103,2023,4,48300,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0104,2023,4,129500,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0105,2023,4,80600,Kopírování / tisk,Kopírování a tisk,detail-518-2022-2025,uzavrene
518-2023-0106,2023,4,632385,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0107,2023,4,9509120,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0108,2023,4,25000,Ostatní,Mateřská škola – splátka úvěru,detail-518-2022-2025,uzavrene
518-2023-0109,2023,4,27000,Ostatní,Místní rozhlas a poplatky OSA,detail-518-2022-2025,uzavrene
518-2023-0110,2023,4,70000,Ostatní,Pozemky – nájem a předpisy závazků,detail-518-2022-2025,uzavrene
518-2023-0111,2023,4,193000,Ostatní,"Obecní vozidla – provoz, pojištění a servis",detail-518-2022-2025,uzavrene
518-2023-0112,2023,4,391000,Ostatní,"Obecní vozidla – provoz, pojištění a servis",detail-518-2022-2025,uzavrene
518-2023-0113,2023,4,420000,Ostatní,"Obecní vozidla – provoz, pojištění a servis",detail-518-2022-2025,uzavrene
518-2023-0114,2023,4,568020,Ostatní,Daňový poradce,detail-518-2022-2025,uzavrene
518-2023-0115,2023,4,996000,Ostatní,"Obecní vozidla – provoz, pojištění a servis",detail-518-2022-2025,uzavrene
518-2023-0116,2023,4,24900,Poštovné,Poštovné,detail-518-2022-2025,uzavrene
518-2023-0117,2023,4,4791600,Právní služby,Právní služby,detail-518-2022-2025,uzavrene
518-2023-0118,2023,4,53716,Telekomunikace / IT,Internet a dálkový přístup,detail-518-2022-2025,uzavrene
518-2023-0119,2023,4,249684,Telekomunikace / IT,Telefony – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0120,2023,4,286926,Telekomunikace / IT,Telefony a internet – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0121,2023,4,29900,Veřejná zeleň,Veřejná zeleň – údržba a výsadba,detail-518-2022-2025,uzavrene
518-2023-0122,2023,4,158930,Voda/kanalizace (provoz),Vodovod – kalkulační výměr a výkazy,detail-518-2022-2025,uzavrene
518-2023-0123,2023,4,610000,Voda/kanalizace (provoz),Vodovod a kanalizace – odborný a technický dozor,detail-518-2022-2025,uzavrene
518-2023-0124,2023,4,1154000,Voda/kanalizace (provoz),"Vodovod – přípojky, navrtací pasy a opravy",detail-518-2022-2025,uzavrene
518-2023-0125,2023,4,193600,Zámek (budova),Zámek – ostatní práce a materiál,detail-518-2022-2025,uzavrene
518-2023-0126,2023,4,1694000,Zámek (budova),Zámek – pronájem stavebního jeřábu,detail-518-2022-2025,uzavrene
518-2023-0127,2023,5,80,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0128,2023,5,1000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0129,2023,5,10000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0130,2023,5,10000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0131,2023,5,25000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0132,2023,5,95500,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0133,2023,5,107600,Kopírování / tisk,Kopírování a tisk,detail-518-2022-2025,uzavrene
518-2023-0134,2023,5,418781,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0135,2023,5,10084120,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0136,2023,5,25000,Ostatní,Mateřská škola – splátka úvěru,detail-518-2022-2025,uzavrene
518-2023-0137,2023,5,62500,Ostatní,"Geometrické plány, znalecké posudky a vklady do katastru",detail-518-2022-2025,uzavrene
518-2023-0138,2023,5,688200,Ostatní,"Software, licence a online služby",detail-518-2022-2025,uzavrene
518-2023-0139,2023,5,2420000,Ostatní,"Software, licence a online služby",detail-518-2022-2025,uzavrene
518-2023-0140,2023,5,8800,Poštovné,Poštovné,detail-518-2022-2025,uzavrene
518-2023-0141,2023,5,30300,Poštovné,Poštovné,detail-518-2022-2025,uzavrene
518-2023-0142,2023,5,5227200,Právní služby,Právní služby,detail-518-2022-2025,uzavrene
518-2023-0143,2023,5,15600,Telekomunikace / IT,Telefony – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0144,2023,5,53716,Telekomunikace / IT,Internet a dálkový přístup,detail-518-2022-2025,uzavrene
518-2023-0145,2023,5,132000,Telekomunikace / IT,"Software, licence a online služby",detail-518-2022-2025,uzavrene
518-2023-0146,2023,5,250684,Telekomunikace / IT,Telefony – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0147,2023,5,286926,Telekomunikace / IT,Telefony a internet – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0148,2023,5,3615480,Telekomunikace / IT,"Software, licence a online služby",detail-518-2022-2025,uzavrene
518-2023-0149,2023,5,48400,Veřejná zeleň,Veřejná zeleň – údržba a výsadba,detail-518-2022-2025,uzavrene
518-2023-0150,2023,5,960000,Voda/kanalizace (provoz),Vodovod a kanalizace – odborný a technický dozor,detail-518-2022-2025,uzavrene
518-2023-0151,2023,5,1013960,Voda/kanalizace (provoz),Kanalizace – deratizace a kontrola,detail-518-2022-2025,uzavrene
518-2023-0152,2023,5,413000,Zámek (budova),Zámek – plynové kotle a revize komínů,detail-518-2022-2025,uzavrene
518-2023-0153,2023,5,500000,Zámek (budova),"Zámek – oprava střechy, atiky a fasády",detail-518-2022-2025,uzavrene
518-2023-0154,2023,5,3388000,Zámek (budova),Zámek – pronájem stavebního jeřábu,detail-518-2022-2025,uzavrene
518-2023-0155,2023,6,80,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0156,2023,6,1000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0157,2023,6,10000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0158,2023,6,11200,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0159,2023,6,25000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0160,2023,6,79500,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0161,2023,6,81200,Kopírování / tisk,Kopírování a tisk,detail-518-2022-2025,uzavrene
518-2023-0162,2023,6,315326,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0163,2023,6,917393,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0164,2023,6,3652385,Odpady (svoz),Bioodpad a kompostování,detail-518-2022-2025,uzavrene
518-2023-0165,2023,6,9509120,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0166,2023,6,24900,Ostatní,"Obecní vozidla – provoz, pojištění a servis",detail-518-2022-2025,uzavrene
518-2023-0167,2023,6,25000,Ostatní,Mateřská škola – splátka úvěru,detail-518-2022-2025,uzavrene
518-2023-0168,2023,6,208000,Ostatní,"Obecní vozidla – provoz, pojištění a servis",detail-518-2022-2025,uzavrene
518-2023-0169,2023,6,268000,Ostatní,Hasiči (SDH) – vozidla a technika,detail-518-2022-2025,uzavrene
518-2023-0170,2023,6,329500,Ostatní,"Software, licence a online služby",detail-518-2022-2025,uzavrene
518-2023-0171,2023,6,22300,Poštovné,Poštovné,detail-518-2022-2025,uzavrene
518-2023-0172,2023,6,4573800,Právní služby,Právní služby,detail-518-2022-2025,uzavrene
518-2023-0173,2023,6,53716,Telekomunikace / IT,Internet a dálkový přístup,detail-518-2022-2025,uzavrene
518-2023-0174,2023,6,223375,Telekomunikace / IT,Telefony – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0175,2023,6,286926,Telekomunikace / IT,Telefony a internet – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0176,2023,6,560000,Voda/kanalizace (provoz),Vodovod a kanalizace – odborný a technický dozor,detail-518-2022-2025,uzavrene
518-2023-0177,2023,6,685000,Voda/kanalizace (provoz),Kanalizace – deratizace a kontrola,detail-518-2022-2025,uzavrene
518-2023-0178,2023,6,1033307,Voda/kanalizace (provoz),Vodovod – kalkulační výměr a výkazy,detail-518-2022-2025,uzavrene
518-2023-0179,2023,6,2400000,Voda/kanalizace (provoz),"Vodovod – přípojky, navrtací pasy a opravy",detail-518-2022-2025,uzavrene
518-2023-0180,2023,6,4400,Zámek (budova),Zámek – ostatní práce a materiál,detail-518-2022-2025,uzavrene
518-2023-0181,2023,6,3388000,Zámek (budova),Zámek – pronájem stavebního jeřábu,detail-518-2022-2025,uzavrene
518-2023-0182,2023,7,80,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0183,2023,7,1000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0184,2023,7,10000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0185,2023,7,25000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0186,2023,7,84000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0187,2023,7,107300,Kopírování / tisk,Kopírování a tisk,detail-518-2022-2025,uzavrene
518-2023-0188,2023,7,135000,Odpady (svoz),Uložení odpadu na skládku,detail-518-2022-2025,uzavrene
518-2023-0189,2023,7,291700,Odpady (svoz),Uložení odpadu na skládku,detail-518-2022-2025,uzavrene
518-2023-0190,2023,7,602715,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0191,2023,7,10084120,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0192,2023,7,3900,Ostatní,Kancelářský materiál a vybavení,detail-518-2022-2025,uzavrene
518-2023-0193,2023,7,7987,Ostatní,"Hasiči (SDH) – výstroj, školení a pojištění",detail-518-2022-2025,uzavrene
518-2023-0194,2023,7,25000,Ostatní,Mateřská škola – splátka úvěru,detail-518-2022-2025,uzavrene
518-2023-0195,2023,7,27000,Ostatní,Místní rozhlas a poplatky OSA,detail-518-2022-2025,uzavrene
518-2023-0196,2023,7,33900,Ostatní,"Hasiči (SDH) – výstroj, školení a pojištění",detail-518-2022-2025,uzavrene
518-2023-0197,2023,7,45900,Ostatní,Ostatní,detail-518-2022-2025,uzavrene
518-2023-0198,2023,7,95500,Ostatní,"Certifikáty, elektronické podpisy a časová razítka",detail-518-2022-2025,uzavrene
518-2023-0199,2023,7,239580,Ostatní,Správní agenda a evidence,detail-518-2022-2025,uzavrene
518-2023-0200,2023,7,817030,Ostatní,Daňový poradce,detail-518-2022-2025,uzavrene
518-2023-0201,2023,7,113700,Poštovné,Poštovné,detail-518-2022-2025,uzavrene
518-2023-0202,2023,7,2880000,Právní služby,Právní služby,detail-518-2022-2025,uzavrene
518-2023-0203,2023,7,4791600,Právní služby,Právní služby,detail-518-2022-2025,uzavrene
518-2023-0204,2023,7,250000,Správa / odborné služby,Dětské hřiště – revize herních prvků,detail-518-2022-2025,uzavrene
518-2023-0205,2023,7,400800,Správa / odborné služby,Technická pomoc a IT podpora,detail-518-2022-2025,uzavrene
518-2023-0206,2023,7,53716,Telekomunikace / IT,Internet a dálkový přístup,detail-518-2022-2025,uzavrene
518-2023-0207,2023,7,272446,Telekomunikace / IT,Telefony – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0208,2023,7,286926,Telekomunikace / IT,Telefony a internet – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0209,2023,7,1260000,Voda/kanalizace (provoz),Vodovod a kanalizace – odborný a technický dozor,detail-518-2022-2025,uzavrene
518-2023-0210,2023,7,1089000,Zámek (budova),Zámek – ostatní práce a materiál,detail-518-2022-2025,uzavrene
518-2023-0211,2023,7,2299000,Zámek (budova),Zámek – ostatní práce a materiál,detail-518-2022-2025,uzavrene
518-2023-0212,2023,7,2407900,Zámek (budova),Zámek – ostatní práce a materiál,detail-518-2022-2025,uzavrene
518-2023-0213,2023,7,3388000,Zámek (budova),Zámek – pronájem stavebního jeřábu,detail-518-2022-2025,uzavrene
518-2023-0214,2023,7,36269270,ČOV / odpadní vody,ČOV – převzatá odpadní voda a čištění,detail-518-2022-2025,uzavrene
518-2023-0215,2023,8,160,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0216,2023,8,1000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0217,2023,8,11200,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0218,2023,8,25000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0219,2023,8,79000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0220,2023,8,177600,Kopírování / tisk,Kopírování a tisk,detail-518-2022-2025,uzavrene
518-2023-0221,2023,8,454597,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0222,2023,8,9882870,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0223,2023,8,14000,Ostatní,Kancelářský materiál a vybavení,detail-518-2022-2025,uzavrene
518-2023-0224,2023,8,25000,Ostatní,Mateřská škola – splátka úvěru,detail-518-2022-2025,uzavrene
518-2023-0225,2023,8,67440,Ostatní,"Certifikáty, elektronické podpisy a časová razítka",detail-518-2022-2025,uzavrene
518-2023-0226,2023,8,51200,Poštovné,Poštovné,detail-518-2022-2025,uzavrene
518-2023-0227,2023,8,293300,Správa / odborné služby,Technická pomoc a IT podpora,detail-518-2022-2025,uzavrene
518-2023-0228,2023,8,17300,Telekomunikace / IT,Telefony – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0229,2023,8,53716,Telekomunikace / IT,Internet a dálkový přístup,detail-518-2022-2025,uzavrene
518-2023-0230,2023,8,242575,Telekomunikace / IT,Telefony – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0231,2023,8,286926,Telekomunikace / IT,Telefony a internet – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0232,2023,8,158931,Voda/kanalizace (provoz),Vodovod – kalkulační výměr a výkazy,detail-518-2022-2025,uzavrene
518-2023-0233,2023,8,302000,Voda/kanalizace (provoz),Vodovod – geodetické práce a vytyčení,detail-518-2022-2025,uzavrene
518-2023-0234,2023,8,545200,Voda/kanalizace (provoz),"Vodovod – přípojky, navrtací pasy a opravy",detail-518-2022-2025,uzavrene
518-2023-0235,2023,8,550000,Voda/kanalizace (provoz),Vodovod – geodetické práce a vytyčení,detail-518-2022-2025,uzavrene
518-2023-0236,2023,8,1310000,Voda/kanalizace (provoz),Vodovod a kanalizace – odborný a technický dozor,detail-518-2022-2025,uzavrene
518-2023-0237,2023,8,4290000,Voda/kanalizace (provoz),Obecní zpravodaj – tisk,detail-518-2022-2025,uzavrene
518-2023-0238,2023,8,3388000,Zámek (budova),Zámek – pronájem stavebního jeřábu,detail-518-2022-2025,uzavrene
518-2023-0239,2023,8,30155620,Zámek (budova),"Zámek – oprava střechy, atiky a fasády",detail-518-2022-2025,uzavrene
518-2023-0240,2023,9,80,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0241,2023,9,1000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0242,2023,9,9500,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0243,2023,9,25000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0244,2023,9,75000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0245,2023,9,21700,Kopírování / tisk,Kopírování a tisk,detail-518-2022-2025,uzavrene
518-2023-0246,2023,9,282656,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0247,2023,9,938034,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0248,2023,9,975421,Odpady (svoz),Nebezpečný odpad,detail-518-2022-2025,uzavrene
518-2023-0249,2023,9,4582270,Odpady (svoz),Bioodpad a kompostování,detail-518-2022-2025,uzavrene
518-2023-0250,2023,9,9509120,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0251,2023,9,25000,Ostatní,Mateřská škola – splátka úvěru,detail-518-2022-2025,uzavrene
518-2023-0252,2023,9,31900,Ostatní,Kancelářský materiál a vybavení,detail-518-2022-2025,uzavrene
518-2023-0253,2023,9,36300,Ostatní,Správní agenda a evidence,detail-518-2022-2025,uzavrene
518-2023-0254,2023,9,100000,Ostatní,"Hasiči (SDH) – výstroj, školení a pojištění",detail-518-2022-2025,uzavrene
518-2023-0255,2023,9,150000,Ostatní,"Obecní vozidla – provoz, pojištění a servis",detail-518-2022-2025,uzavrene
518-2023-0256,2023,9,172788,Ostatní,"Software, licence a online služby",detail-518-2022-2025,uzavrene
518-2023-0257,2023,9,242000,Ostatní,"Software, licence a online služby",detail-518-2022-2025,uzavrene
518-2023-0258,2023,9,350000,Ostatní,"Software, licence a online služby",detail-518-2022-2025,uzavrene
518-2023-0259,2023,9,871200,Ostatní,"Software, licence a online služby",detail-518-2022-2025,uzavrene
518-2023-0260,2023,9,2577179,Ostatní,Ostatní,detail-518-2022-2025,uzavrene
518-2023-0261,2023,9,74400,Poštovné,Poštovné,detail-518-2022-2025,uzavrene
518-2023-0262,2023,9,5662800,Právní služby,Právní služby,detail-518-2022-2025,uzavrene
518-2023-0263,2023,9,487900,Správa / odborné služby,Technická pomoc a IT podpora,detail-518-2022-2025,uzavrene
518-2023-0264,2023,9,53716,Telekomunikace / IT,Internet a dálkový přístup,detail-518-2022-2025,uzavrene
518-2023-0265,2023,9,143748,Telekomunikace / IT,Telekomunikace a IT – ostatní,detail-518-2022-2025,uzavrene
518-2023-0266,2023,9,271886,Telekomunikace / IT,Telefony – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0267,2023,9,286926,Telekomunikace / IT,Telefony a internet – vyúčtování,detail-518-2022-2025,uzavrene
518-2023-0268,2023,9,145200,Veřejná zeleň,Veřejná zeleň – údržba a výsadba,detail-518-2022-2025,uzavrene
518-2023-0269,2023,9,188515,Voda/kanalizace (provoz),"Vodovod – přípojky, navrtací pasy a opravy",detail-518-2022-2025,uzavrene
518-2023-0270,2023,9,3388000,Zámek (budova),Zámek – pronájem stavebního jeřábu,detail-518-2022-2025,uzavrene
518-2023-0271,2023,9,32616453,ČOV / odpadní vody,ČOV – převzatá odpadní voda a čištění,detail-518-2022-2025,uzavrene
518-2023-0272,2023,10,80,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0273,2023,10,1000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0274,2023,10,25000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0275,2023,10,50100,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0276,2023,10,78000,Bankovní poplatky,Bankovní poplatky,detail-518-2022-2025,uzavrene
518-2023-0277,2023,10,146300,Kopírování / tisk,Kopírování a tisk,detail-518-2022-2025,uzavrene
518-2023-0278,2023,10,465971,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0279,2023,10,604785,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0280,2023,10,7260000,Odpady (svoz),Bioodpad a kompostování,detail-518-2022-2025,uzavrene
518-2023-0281,2023,10,9920820,Odpady (svoz),Svoz a odvoz komunálního odpadu,detail-518-2022-2025,uzavrene
518-2023-0282,2023,10,25000,Ostatní,Mateřská škola – splátka úvěru,detail-518-2022-2025,uzavrene
518-2023-0283,2023,10,27000,Ostatní,Místní rozhlas a poplatky OSA,detail-518-2022-2025,uzavrene
518-2023-0284,2023,10,30000,Ostatní,"Hasiči (SDH) – výstroj, školení a pojištění",detail-518-2022-2025,uzavrene
518-2023-0285,2023,10,151360,Ostatní,"Certifikáty, elektronické podpisy a časová razítka",detail-518-2022-2025,uzavrene
518-2023-0286,2023,10,290400,Ostatní,"Hřbitov, kaple a pohřebnictví – údržba",detail-518-2022-2025,uzavrene
518-2023-0287,2023,10,296450,Ostatní,Správní agenda a evidence,detail-518-2022-2025,uzavrene
518-2023-0288,2023,10,397000,Ostatní,"Hasiči (SDH) – výstroj, školení a pojištění",detail-518-2022-2025,uzavrene
518-2023-0289,2023,10,595050,Ostatní,Daňový poradce,detail-518-2022-2025,uzavrene
518-2023-0290,2023,10,78300,Poštovné,Poštovné,detail-518-2022-2025,uzavrene
518-2023-0291,2023,10,210000,Správa / odborné služby,Školení zaměstnanců obce,detail-518-2022-2025,uzavrene
518-2023-0292,2023,10,221700,Správa / odborné služby,Technická pomoc a IT podpora,detail-518-2022-2025,uzavrene
518-2023-0293,2023,10,-143748,Telekomunikace / IT,Telekomunikace a IT – ostatní,detail-518-2022-2025,uzavrene
518-2023-0294,2023,10,53716,Telekomunikace / IT,Internet a dálkový přístup,detail-518-2022-2025,uzavrene
